firstAuthor,accessionId,reportedTrait,Samplesize,summaryStatistics
Chen Y,GCST90199925,Succinimide levels,5865,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199925/GCST90199925_buildGRCh38.tsv.gz
Chen Y,GCST90199926,N-acetylcarnosine levels,8233,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199926/GCST90199926_buildGRCh38.tsv.gz
Chen Y,GCST90199927,Histidine betaine (hercynine) levels,7518,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199927/GCST90199927_buildGRCh38.tsv.gz
Chen Y,GCST90199928,2-stearoyl-GPE (18:0) levels,8073,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199928/GCST90199928_buildGRCh38.tsv.gz
Chen Y,GCST90199929,Margaroylcarnitine (C17) levels,8112,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199929/GCST90199929_buildGRCh38.tsv.gz
Chen Y,GCST90199930,(R)-3-hydroxybutyrylcarnitine levels,7787,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199930/GCST90199930_buildGRCh38.tsv.gz
Chen Y,GCST90199931,Lanthionine levels,7760,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199931/GCST90199931_buildGRCh38.tsv.gz
Chen Y,GCST90199932,Mannonate levels,8166,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199932/GCST90199932_buildGRCh38.tsv.gz
Chen Y,GCST90199933,3b-hydroxy-5-cholenoic acid levels,6846,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199933/GCST90199933_buildGRCh38.tsv.gz
Chen Y,GCST90199934,2-hydroxydecanoate levels,8267,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199934/GCST90199934_buildGRCh38.tsv.gz
Chen Y,GCST90199935,Glycohyocholate levels,7095,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199935/GCST90199935_buildGRCh38.tsv.gz
Chen Y,GCST90199936,3-methyl catechol sulfate (2) levels,6320,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199936/GCST90199936_buildGRCh38.tsv.gz
Chen Y,GCST90199937,2-aminooctanoate levels,8178,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199937/GCST90199937_buildGRCh38.tsv.gz
Chen Y,GCST90199938,3-methyl catechol sulfate (1) levels,8233,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199938/GCST90199938_buildGRCh38.tsv.gz
Chen Y,GCST90199939,4-methylcatechol sulfate levels,8229,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199939/GCST90199939_buildGRCh38.tsv.gz
Chen Y,GCST90199940,Guaiacol sulfate levels,8262,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199940/GCST90199940_buildGRCh38.tsv.gz
Chen Y,GCST90199941,Gamma-CEHC glucuronide levels,6305,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199941/GCST90199941_buildGRCh38.tsv.gz
Chen Y,GCST90199942,Dimethyl sulfone levels,7905,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199942/GCST90199942_buildGRCh38.tsv.gz
Chen Y,GCST90199943,2-piperidinone levels,8225,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199943/GCST90199943_buildGRCh38.tsv.gz
Chen Y,GCST90199944,Indolin-2-one levels,7027,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199944/GCST90199944_buildGRCh38.tsv.gz
Chen Y,GCST90199945,"Sphingomyelin (d18:1/14:0, d16:1/16:0) levels",8254,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199945/GCST90199945_buildGRCh38.tsv.gz
Chen Y,GCST90199946,3-acetylphenol sulfate levels,6897,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199946/GCST90199946_buildGRCh38.tsv.gz
Chen Y,GCST90199947,"Sphingomyelin (d18:2/16:0, d18:1/16:1) levels",8272,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199947/GCST90199947_buildGRCh38.tsv.gz
Chen Y,GCST90199948,S-allylcysteine levels,6857,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199948/GCST90199948_buildGRCh38.tsv.gz
Chen Y,GCST90199949,6-oxopiperidine-2-carboxylate levels,8032,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199949/GCST90199949_buildGRCh38.tsv.gz
Chen Y,GCST90199950,2-aminophenol sulfate levels,8264,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199950/GCST90199950_buildGRCh38.tsv.gz
Chen Y,GCST90199951,N-acetylalliin levels,5432,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199951/GCST90199951_buildGRCh38.tsv.gz
Chen Y,GCST90199952,2-aminoheptanoate levels,8238,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199952/GCST90199952_buildGRCh38.tsv.gz
Chen Y,GCST90199953,3-methoxytyramine sulfate levels,5419,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199953/GCST90199953_buildGRCh38.tsv.gz
Chen Y,GCST90199954,"N2,N5-diacetylornithine levels",7596,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199954/GCST90199954_buildGRCh38.tsv.gz
Chen Y,GCST90199955,Ferulic acid 4-sulfate levels,7332,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199955/GCST90199955_buildGRCh38.tsv.gz
Chen Y,GCST90199956,1H-indole-7-acetic acid levels,5986,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199956/GCST90199956_buildGRCh38.tsv.gz
Chen Y,GCST90199957,3-(3-hydroxyphenyl)propionate sulfate levels,5773,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199957/GCST90199957_buildGRCh38.tsv.gz
Chen Y,GCST90199958,1-linolenoyl-GPC (18:3) levels,8261,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199958/GCST90199958_buildGRCh38.tsv.gz
Chen Y,GCST90199959,O-sulfo-l-tyrosine levels,8229,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199959/GCST90199959_buildGRCh38.tsv.gz
Chen Y,GCST90199960,N-formylanthranilic acid levels,7534,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199960/GCST90199960_buildGRCh38.tsv.gz
Chen Y,GCST90199961,Methionine sulfone levels,8254,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199961/GCST90199961_buildGRCh38.tsv.gz
Chen Y,GCST90199962,Acisoga levels,7489,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199962/GCST90199962_buildGRCh38.tsv.gz
Chen Y,GCST90199963,17alpha-hydroxypregnanolone glucuronide levels,5582,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199963/GCST90199963_buildGRCh38.tsv.gz
Chen Y,GCST90199964,Etiocholanolone glucuronide levels,7821,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199964/GCST90199964_buildGRCh38.tsv.gz
Chen Y,GCST90199965,Fructosyllysine levels,8238,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199965/GCST90199965_buildGRCh38.tsv.gz
Chen Y,GCST90199966,1-(1-enyl-oleoyl)-GPE (p-18:1) levels,8157,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199966/GCST90199966_buildGRCh38.tsv.gz
Chen Y,GCST90199967,N-acetyltaurine levels,8160,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199967/GCST90199967_buildGRCh38.tsv.gz
Chen Y,GCST90199968,1-palmitoyl-GPG (16:0) levels,7708,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199968/GCST90199968_buildGRCh38.tsv.gz
Chen Y,GCST90199969,1-oleoyl-GPG (18:1) levels,6990,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199969/GCST90199969_buildGRCh38.tsv.gz
Chen Y,GCST90199970,Octadecenedioylcarnitine (C18:1-DC) levels,8245,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199970/GCST90199970_buildGRCh38.tsv.gz
Chen Y,GCST90199971,3-methylglutarylcarnitine (2) levels,8220,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199971/GCST90199971_buildGRCh38.tsv.gz
Chen Y,GCST90199972,"Sphingomyelin (d18:1/24:1, d18:2/24:0) levels",8267,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199972/GCST90199972_buildGRCh38.tsv.gz
Chen Y,GCST90199973,Methyl glucopyranoside (alpha + beta) levels,7973,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199973/GCST90199973_buildGRCh38.tsv.gz
Chen Y,GCST90199974,9-hydroxystearate levels,7474,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199974/GCST90199974_buildGRCh38.tsv.gz
Chen Y,GCST90199975,"Sphingomyelin (d18:2/14:0, d18:1/14:1) levels",8278,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199975/GCST90199975_buildGRCh38.tsv.gz
Chen Y,GCST90199976,1-dihomo-linolenylglycerol (20:3) levels,6470,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199976/GCST90199976_buildGRCh38.tsv.gz
Chen Y,GCST90199977,4-hydroxychlorothalonil levels,8216,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199977/GCST90199977_buildGRCh38.tsv.gz
Chen Y,GCST90199978,Vanillactate levels,7935,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199978/GCST90199978_buildGRCh38.tsv.gz
Chen Y,GCST90199979,Carnitine C14:1 levels,8257,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199979/GCST90199979_buildGRCh38.tsv.gz
Chen Y,GCST90199980,N-formylphenylalanine levels,7229,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199980/GCST90199980_buildGRCh38.tsv.gz
Chen Y,GCST90199981,2-acetamidophenol sulfate levels,6984,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199981/GCST90199981_buildGRCh38.tsv.gz
Chen Y,GCST90199982,4-vinylguaiacol sulfate levels,7592,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199982/GCST90199982_buildGRCh38.tsv.gz
Chen Y,GCST90199983,"5alpha-androstan-3alpha,17beta-diol monosulfate (2) levels",5920,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199983/GCST90199983_buildGRCh38.tsv.gz
Chen Y,GCST90199984,Vanillic alcohol sulfate levels,5076,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199984/GCST90199984_buildGRCh38.tsv.gz
Chen Y,GCST90199985,Methyl-4-hydroxybenzoate sulfate levels,8285,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199985/GCST90199985_buildGRCh38.tsv.gz
Chen Y,GCST90199986,Eugenol sulfate levels,7063,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199986/GCST90199986_buildGRCh38.tsv.gz
Chen Y,GCST90199987,2-methoxyresorcinol sulfate levels,5897,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199987/GCST90199987_buildGRCh38.tsv.gz
Chen Y,GCST90199988,Tyramine O-sulfate levels,7254,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199988/GCST90199988_buildGRCh38.tsv.gz
Chen Y,GCST90199989,4-methylguaiacol sulfate levels,7141,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199989/GCST90199989_buildGRCh38.tsv.gz
Chen Y,GCST90199990,3-hydroxypyridine sulfate levels,8270,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199990/GCST90199990_buildGRCh38.tsv.gz
Chen Y,GCST90199991,Arabonate/xylonate levels,8211,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199991/GCST90199991_buildGRCh38.tsv.gz
Chen Y,GCST90199992,Octadecanedioylcarnitine (C18-DC) levels,8049,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199992/GCST90199992_buildGRCh38.tsv.gz
Chen Y,GCST90199993,Phenylacetylcarnitine levels,8127,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199993/GCST90199993_buildGRCh38.tsv.gz
Chen Y,GCST90199994,Ethylparaben sulfate levels,6408,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199994/GCST90199994_buildGRCh38.tsv.gz
Chen Y,GCST90199995,"Sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2) levels",8124,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199995/GCST90199995_buildGRCh38.tsv.gz
Chen Y,GCST90199996,"Sphingomyelin (d18:1/20:1, d18:2/20:0) levels",8255,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199996/GCST90199996_buildGRCh38.tsv.gz
Chen Y,GCST90199997,Behenoyl sphingomyelin (d18:1/22:0) levels,8260,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199997/GCST90199997_buildGRCh38.tsv.gz
Chen Y,GCST90199998,Propyl 4-hydroxybenzoate sulfate levels,7855,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199998/GCST90199998_buildGRCh38.tsv.gz
Chen Y,GCST90199999,4-methoxyphenol sulfate levels,7500,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199999/GCST90199999_buildGRCh38.tsv.gz
Chen Y,GCST90200000,Umbelliferone sulfate levels,5598,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90200000/GCST90200000_buildGRCh38.tsv.gz
Chen Y,GCST90200001,"Sphingomyelin (d18:1/20:0, d16:1/22:0) levels",8257,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200001/GCST90200001_buildGRCh38.tsv.gz
Chen Y,GCST90200002,6-hydroxyindole sulfate levels,8229,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200002/GCST90200002_buildGRCh38.tsv.gz
Chen Y,GCST90200003,P-cresol glucuronide levels,7969,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200003/GCST90200003_buildGRCh38.tsv.gz
Chen Y,GCST90200004,N-carbamoylalanine levels,7315,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200004/GCST90200004_buildGRCh38.tsv.gz
Chen Y,GCST90200005,Citraconate/glutaconate levels,8263,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200005/GCST90200005_buildGRCh38.tsv.gz
Chen Y,GCST90200006,"1,2,3-benzenetriol sulfate (2) levels",7484,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200006/GCST90200006_buildGRCh38.tsv.gz
Chen Y,GCST90200007,3-methoxycatechol sulfate (2) levels,7286,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200007/GCST90200007_buildGRCh38.tsv.gz
Chen Y,GCST90200008,C-glycosyltryptophan levels,8204,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200008/GCST90200008_buildGRCh38.tsv.gz
Chen Y,GCST90200009,3-methoxycatechol sulfate (1) levels,8194,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200009/GCST90200009_buildGRCh38.tsv.gz
Chen Y,GCST90200010,"Sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1) levels",8246,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200010/GCST90200010_buildGRCh38.tsv.gz
Chen Y,GCST90200011,Arabitol/xylitol levels,8219,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200011/GCST90200011_buildGRCh38.tsv.gz
Chen Y,GCST90200012,3-hydroxyhexanoate levels,8268,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200012/GCST90200012_buildGRCh38.tsv.gz
Chen Y,GCST90200013,"Sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2) levels",8267,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200013/GCST90200013_buildGRCh38.tsv.gz
Chen Y,GCST90200014,3beta-hydroxy-5-cholestenoate levels,8259,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200014/GCST90200014_buildGRCh38.tsv.gz
Chen Y,GCST90200015,N-acetylkynurenine (2) levels,6193,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200015/GCST90200015_buildGRCh38.tsv.gz
Chen Y,GCST90200016,Dopamine 4-sulfate levels,6888,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200016/GCST90200016_buildGRCh38.tsv.gz
Chen Y,GCST90200017,"Sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0) levels",8261,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200017/GCST90200017_buildGRCh38.tsv.gz
Chen Y,GCST90200018,Adipoylcarnitine (C6-DC) levels,8216,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200018/GCST90200018_buildGRCh38.tsv.gz
Chen Y,GCST90200019,Dopamine 3-o-sulfate levels,8252,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200019/GCST90200019_buildGRCh38.tsv.gz
Chen Y,GCST90200020,Lignoceroyl sphingomyelin (d18:1/24:0) levels,8250,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200020/GCST90200020_buildGRCh38.tsv.gz
Chen Y,GCST90200021,N-acetylglucosamine/n-acetylgalactosamine levels,7940,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200021/GCST90200021_buildGRCh38.tsv.gz
Chen Y,GCST90200022,Glycochenodeoxycholate 3-sulfate levels,8123,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200022/GCST90200022_buildGRCh38.tsv.gz
Chen Y,GCST90200023,"Trans 3,4-methyleneheptanoate levels",7104,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200023/GCST90200023_buildGRCh38.tsv.gz
Chen Y,GCST90200024,Taurodeoxycholic acid 3-sulfate levels,7333,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200024/GCST90200024_buildGRCh38.tsv.gz
Chen Y,GCST90200025,Phenol glucuronide levels,4466,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200025/GCST90200025_buildGRCh38.tsv.gz
Chen Y,GCST90200026,Glycodeoxycholate 3-sulfate levels,8066,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200026/GCST90200026_buildGRCh38.tsv.gz
Chen Y,GCST90200027,4-hydroxyphenylacetoylcarnitine levels,7523,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200027/GCST90200027_buildGRCh38.tsv.gz
Chen Y,GCST90200028,1-stearoyl-2-oleoyl-gpc (18:0/18:1) levels,8257,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200028/GCST90200028_buildGRCh38.tsv.gz
Chen Y,GCST90200029,Linoleoyl ethanolamide levels,7214,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200029/GCST90200029_buildGRCh38.tsv.gz
Chen Y,GCST90200030,"1,2-dilinoleoyl-GPC (18:2/18:2) levels",8227,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200030/GCST90200030_buildGRCh38.tsv.gz
Chen Y,GCST90200031,Nonanoylcarnitine (C9) levels,7669,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200031/GCST90200031_buildGRCh38.tsv.gz
Chen Y,GCST90200032,2-hydroxybutyrate/2-hydroxyisobutyrate levels,8215,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200032/GCST90200032_buildGRCh38.tsv.gz
Chen Y,GCST90200033,"Sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1) levels",8272,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200033/GCST90200033_buildGRCh38.tsv.gz
Chen Y,GCST90200034,Tricosanoyl sphingomyelin (d18:1/23:0) levels,8257,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200034/GCST90200034_buildGRCh38.tsv.gz
Chen Y,GCST90200035,Palmitoyl dihydrosphingomyelin (d18:0/16:0) levels,8269,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200035/GCST90200035_buildGRCh38.tsv.gz
Chen Y,GCST90200036,1-palmitoleoylglycerol (16:1) levels,6432,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200036/GCST90200036_buildGRCh38.tsv.gz
Chen Y,GCST90200037,1-stearoyl-2-linoleoyl-gpc (18:0/18:2) levels,8231,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200037/GCST90200037_buildGRCh38.tsv.gz
Chen Y,GCST90200038,1-palmitoyl-2-palmitoleoyl-gpc (16:0/16:1) levels,8276,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200038/GCST90200038_buildGRCh38.tsv.gz
Chen Y,GCST90200039,1-stearoyl-2-linoleoyl-GPE (18:0/18:2) levels,8241,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200039/GCST90200039_buildGRCh38.tsv.gz
Chen Y,GCST90200040,"Sphingomyelin (d18:2/24:1, d18:1/24:2) levels",8273,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200040/GCST90200040_buildGRCh38.tsv.gz
Chen Y,GCST90200041,1-palmitoyl-2-stearoyl-gpc (16:0/18:0) levels,8271,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200041/GCST90200041_buildGRCh38.tsv.gz
Chen Y,GCST90200042,Oleate/vaccenate (18:1) levels,8230,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200042/GCST90200042_buildGRCh38.tsv.gz
Chen Y,GCST90200043,1-palmitoyl-2-docosahexaenoyl-gpc (16:0/22:6) levels,8256,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200043/GCST90200043_buildGRCh38.tsv.gz
Chen Y,GCST90200044,1-(1-enyl-stearoyl)-2-oleoyl-GPE (p-18:0/18:1) levels,8258,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200044/GCST90200044_buildGRCh38.tsv.gz
Chen Y,GCST90200045,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4) levels,8259,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200045/GCST90200045_buildGRCh38.tsv.gz
Chen Y,GCST90200046,1-stearoyl-2-docosahexaenoyl-gpc (18:0/22:6) levels,8257,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200046/GCST90200046_buildGRCh38.tsv.gz
Chen Y,GCST90200047,"Sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0) levels",8252,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200047/GCST90200047_buildGRCh38.tsv.gz
Chen Y,GCST90200048,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (p-16:0/20:4) levels,8262,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200048/GCST90200048_buildGRCh38.tsv.gz
